REF_AREA,Reference area,Pollutant,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE,Frequency of observation
IE04,Northern and Western,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,10.588771,Annual
IE05,Southern,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.060493,Annual
IE06,Eastern and Midland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,13.273375,Annual
IS01,Capital Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,7.7134571,Annual
IS02,Other Regions,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,7.0955782,Annual
ITC1,Piedmont,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,37.633896,Annual
ITC2,Aosta Valley,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,20.254061,Annual
ITC3,Liguria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.286667,Annual
ITC4,Lombardy,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,43.799679,Annual
ITF1,Abruzzo,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.840616,Annual
ITF2,Molise,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,16.248604,Annual
ITF3,Campania,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,19.833364,Annual
ITF4,Apulia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,17.504019,Annual
ITF5,Basilicata,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.153142,Annual
ITF6,Calabria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,15.649055,Annual
ITG1,Sicily,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.034998,Annual
ITG2,Sardinia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,12.024802,Annual
ITH1,Autonomous prov. Bolzano,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.384579,Annual
